model,category,accuracy,f1_weighted,f1_macro,precision_macro,recall_macro
BERT (fine-tuned),Fine-tuned Transformer,0.88,0.88,0.87,0.87,0.87
RoBERTa (fine-tuned),Fine-tuned Transformer,0.87,0.87,0.86,0.86,0.86
Phi-3-mini (few-shot prompt),Decoder LLM (Few-Shot),0.35,0.34,0.36,0.39,0.41
DeBERTa-v3 (NLI zero-shot),Zero-Shot NLI Classifier,0.36,0.33,0.38,0.41,0.45
Phi-3-mini (zero-shot prompt),Decoder LLM (Zero-Shot),0.34,0.33,0.35,0.39,0.4
Qwen2.5-1.5B (few-shot prompt),Decoder LLM (Few-Shot),0.27,0.26,0.27,0.43,0.32
BART-MNLI (NLI zero-shot),Zero-Shot NLI Classifier,0.23,0.2,0.23,0.43,0.25
Qwen2.5-1.5B (zero-shot prompt),Decoder LLM (Zero-Shot),0.17,0.17,0.19,0.49,0.22
